Field,ID,Type (类型),default,zh-CN,zh-Hant,en,en-US,fr,ru,ja,de,pt-BR,es,it,nl,cs,uk,sv,id
Description,2,文本,Simple Melody Player manages local music files based on the UI of Groove Music.,个人开发的一个免费无广告的管理本地音乐的音乐播放器，有问题和需求欢迎通过播放器内部进行反馈。,個人開發的一個免費無廣告的管理本機音樂的音樂播放器，有問題和需求歡迎透過播放器內部進行回饋。,"Simple Melody Player manages local music files based on the UI of Groove Music. And I just write this app for fun and for myself. If you insist on using it, don't blame me on bugs.","Simple Melody Player manages local music files based on the UI of Groove Music. And I just write this app for fun and for myself. If you insist on using it, don't blame me on bugs.","Un lecteur de musique gratuit et sans publicité, développé personnellement pour gérer la musique locale. Les problèmes et demandes peuvent être envoyés depuis le lecteur.","Бесплатный музыкальный плеер без рекламы, разработанный лично для управления локальной музыкой. О проблемах и пожеланиях можно сообщить внутри плеера.",個人開発の無料・広告なしのローカル音楽管理プレーヤーです。問題や要望はプレーヤー内からフィードバックできます。,"Ein privat entwickelter, kostenloser und werbefreier Musikplayer zum Verwalten lokaler Musik. Probleme und Wünsche können direkt im Player gemeldet werden.","Simple Melody Player manages local music files based on the UI of Groove Music. And I just write this app for fun and for myself. If you insist on using it, don't blame me on bugs.","Un reproductor de música gratuito y sin anuncios, desarrollado personalmente para gestionar música local. Puedes enviar problemas y solicitudes desde el reproductor.","Un lettore musicale gratuito e senza pubblicità, sviluppato personalmente per gestire la musica locale. Problemi e richieste possono essere inviati dall’interno del lettore.","Een gratis muziekspeler zonder advertenties, persoonlijk ontwikkeld voor het beheren van lokale muziek. Problemen en verzoeken kunnen vanuit de speler worden verzonden.","Bezplatný hudební přehrávač bez reklam, osobně vyvinutý pro správu místní hudby. Problémy a požadavky můžete odeslat přímo v přehrávači.","Безкоштовний музичний плеєр без реклами, розроблений особисто для керування локальною музикою. Про проблеми та побажання можна повідомити всередині плеєра.","En gratis musikspelare utan annonser, personligt utvecklad för att hantera lokal musik. Problem och önskemål kan skickas inifrån spelaren.","Pemutar musik gratis tanpa iklan, dikembangkan secara pribadi untuk mengelola musik lokal. Masalah dan permintaan dapat dikirim dari dalam pemutar."
ReleaseNotes,3,文本,,1. 见设置界面的更新日志,1. 請參見設定頁面的更新日誌,1. See Release Logs in the settings page,1. See Release Logs in the settings page,1. Consultez le journal des mises à jour dans les paramètres,1. См. журнал обновлений на странице настроек,1. 設定画面の更新ログを参照してください,1. Siehe Änderungsprotokoll auf der Einstellungsseite,1. See Release Logs in the settings page,1. Consulta el registro de actualizaciones en la página de configuración,1. Consulta il registro degli aggiornamenti nella pagina delle impostazioni,1. Bekijk het update-overzicht op de instellingenpagina,1. Viz protokol aktualizací na stránce nastavení,1. Дивіться журнал оновлень на сторінці налаштувань,1. Se uppdateringsloggen på inställningssidan,1. Lihat log pembaruan di halaman pengaturan
Title,4,文本,Simple Melody Player,简音播放器,簡音播放器,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player
ShortTitle,5,文本,Simple Melody Player,简音播放器,簡音播放器,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player
SortTitle,6,文本,Simple Melody Player,简音播放器,簡音播放器,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player
VoiceTitle,7,文本,Simple Melody Player,简音播放器,簡音播放器,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player,Simple Melody Player
ShortDescription,8,文本,A local music player.,一个免费的本地音乐播放器。,一個免費的本機音樂播放器。,A simple local music player.,A local music player.,Un lecteur de musique local gratuit.,Бесплатный локальный музыкальный плеер.,無料のローカル音楽プレーヤー。,Ein kostenloser lokaler Musikplayer.,A local music player.,Un reproductor de música local gratuito.,Un lettore musicale locale gratuito.,Een gratis lokale muziekspeler.,Bezplatný místní hudební přehrávač.,Безкоштовний локальний музичний плеєр.,En gratis lokal musikspelare.,Pemutar musik lokal gratis.
DevStudio,9,文本,,,,,,,,,,,,,,,,,
CopyrightTrademarkInformation,12,文本,,,,,,,,,,,,,,,,,
AdditionalLicenseTerms,13,文本,,,,,,,,,,,,,,,,,
DesktopScreenshot1,100,相对路径(或指向合作伙伴中心文件的 URL),,storelisting/1zh.png,storelisting/1zh.png,storelisting/1en.png,storelisting/1en.png,storelisting/1en.png,storelisting/1en.png,storelisting/1en.png,storelisting/1en.png,storelisting/1en.png,storelisting/1en.png,storelisting/1en.png,storelisting/1en.png,storelisting/1en.png,storelisting/1en.png,storelisting/1en.png,storelisting/1en.png
DesktopScreenshot2,101,相对路径(或指向合作伙伴中心文件的 URL),,storelisting/2zh.png,storelisting/2zh.png,storelisting/2en.png,storelisting/2en.png,storelisting/2en.png,storelisting/2en.png,storelisting/2en.png,storelisting/2en.png,storelisting/2en.png,storelisting/2en.png,storelisting/2en.png,storelisting/2en.png,storelisting/2en.png,storelisting/2en.png,storelisting/2en.png,storelisting/2en.png
DesktopScreenshot3,102,相对路径(或指向合作伙伴中心文件的 URL),,storelisting/3zh.png,storelisting/3zh.png,storelisting/3en.png,storelisting/3en.png,storelisting/3en.png,storelisting/3en.png,storelisting/3en.png,storelisting/3en.png,storelisting/3en.png,storelisting/3en.png,storelisting/3en.png,storelisting/3en.png,storelisting/3en.png,storelisting/3en.png,storelisting/3en.png,storelisting/3en.png
DesktopScreenshot4,103,相对路径(或指向合作伙伴中心文件的 URL),,storelisting/4zh.png,storelisting/4zh.png,storelisting/4en.png,storelisting/4en.png,storelisting/4en.png,storelisting/4en.png,storelisting/4en.png,storelisting/4en.png,storelisting/4en.png,storelisting/4en.png,storelisting/4en.png,storelisting/4en.png,storelisting/4en.png,storelisting/4en.png,storelisting/4en.png,storelisting/4en.png
DesktopScreenshot5,104,相对路径(或指向合作伙伴中心文件的 URL),,storelisting/5zh.png,storelisting/5zh.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png
DesktopScreenshot6,105,相对路径(或指向合作伙伴中心文件的 URL),,storelisting/6zh.png,storelisting/6zh.png,storelisting/6en.png,storelisting/6en.png,storelisting/6en.png,storelisting/6en.png,storelisting/6en.png,storelisting/6en.png,storelisting/6en.png,storelisting/6en.png,storelisting/6en.png,storelisting/6en.png,storelisting/6en.png,storelisting/6en.png,storelisting/6en.png,storelisting/6en.png
DesktopScreenshot7,106,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
DesktopScreenshot8,107,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
DesktopScreenshot9,108,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
DesktopScreenshot10,109,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
DesktopScreenshotCaption1,150,文本,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption2,151,文本,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption3,152,文本,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption4,153,文本,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption5,154,文本,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption6,155,文本,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption7,156,文本,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption8,157,文本,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption9,158,文本,,,,,,,,,,,,,,,,,
DesktopScreenshotCaption10,159,文本,,,,,,,,,,,,,,,,,
MobileScreenshot1,200,相对路径(或指向合作伙伴中心文件的 URL),,storelisting/5zh.png,storelisting/5zh.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png,storelisting/5en.png
MobileScreenshot2,201,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
MobileScreenshot3,202,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
MobileScreenshot4,203,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
MobileScreenshot5,204,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
MobileScreenshot6,205,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
MobileScreenshot7,206,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
MobileScreenshot8,207,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
MobileScreenshot9,208,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
MobileScreenshot10,209,相对路径(或指向合作伙伴中心文件的 URL),,,,,,,,,,,,,,,,,
MobileScreenshotCaption1,250,文本,,,,,,,,,,,,,,,,,
MobileScreenshotCaption2,251,文本,,,,,,,,,,,,,,,,,
MobileScreenshotCaption3,252,文本,,,,,,,,,,,,,,,,,
MobileScreenshotCaption4,253,文本,,,,,,,,,,,,,,,,,
MobileScreenshotCaption5,254,文本,,,,,,,,,,,,,,,,,
MobileScreenshotCaption6,255,文本,,,,,,,,,,,,,,,,,
MobileScreenshotCaption7,256,文本,,,,,,,,,,,,,,,,,
